column,q1,q3
ret_12_1_vs_spy,-1.5408084124796289,0.024033369065100063
mom_12_1_spdji,-2.349063086025038,18.283521463229405
mom_12_1_spdji_vs_spy,-15.95569651269652,4.676888036557924
ulcer_12_1,8.556216901381934,19.30293190416298
max_dd_12_1,-40.002114593608574,-21.898793492649386
bull_stack_days_12_1_20_50_100,70.0,141.0
trend_consistency,44.74680860257437,70.18900041232432
sharpe_12_1,-0.28493623350359887,0.8246357647634421
sortino_12_1,-0.394436062993941,1.2221275020883318
rsi14,44.01515595953919,61.99466974634705
ulcer_63d,3.131393075309041,8.23281754290306
max_dd_63d,-16.60891180057755,-7.648743396597885
beta_252d_vs_spy,0.616624011493185,1.328679405927319
ticker_vs_sector_z_12_1,-0.6238585092812741,0.9375755993676316
