ticker,price,type,sector,mom_12_1_spdji,sma20_slope_3d,sma_stack_20_50_100,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,102,153,204,255,306,portfolio_value
MCD,302.3800048828125,Stock,consumer_discretionary,12.063537271444696,Down,0/3,907.1400146484375,1814.280029296875,2721.4200439453125,3628.56005859375,4535.7000732421875,5442.840087890625,6349.9801025390625,7257.1201171875,8164.2601318359375,9071.400146484375,9978.540161132812,10885.68017578125,11792.820190429688,12699.960205078125,13607.100219726562,14514.240234375,15421.380249023438,30842.760498046875,46264.14074707031,61685.52099609375,77106.90124511719,92528.28149414062,310000.0
NTNX,77.08999633789062,Stock,technology,10.445796489363262,Up,3/3,231.26998901367188,462.53997802734375,693.8099670410156,925.0799560546875,1156.3499450683594,1387.6199340820312,1618.8899230957031,1850.159912109375,2081.429901123047,2312.6998901367188,2543.9698791503906,2775.2398681640625,3006.5098571777344,3237.7798461914062,3469.049835205078,3700.31982421875,3931.589813232422,7863.179626464844,11794.769439697266,15726.359252929688,19657.94906616211,23589.53887939453,310000.0
AAL,12.449999809265137,Stock,industrials,9.052623518864168,Down,1/3,37.34999942779541,74.69999885559082,112.04999828338623,149.39999771118164,186.74999713897705,224.09999656677246,261.44999599456787,298.7999954223633,336.1499948501587,373.4999942779541,410.8499937057495,448.1999931335449,485.54999256134033,522.8999919891357,560.2499914169312,597.5999908447266,634.949990272522,1269.899980545044,1904.849970817566,2539.799961090088,3174.74995136261,3809.699941635132,310000.0
AGI,32.34000015258789,Stock,materials,14.726821572986792,Up,3/3,97.02000045776367,194.04000091552734,291.060001373291,388.0800018310547,485.10000228881836,582.120002746582,679.1400032043457,776.1600036621094,873.180004119873,970.2000045776367,1067.2200050354004,1164.240005493164,1261.2600059509277,1358.2800064086914,1455.300006866455,1552.3200073242188,1649.3400077819824,3298.680015563965,4948.020023345947,6597.36003112793,8246.700038909912,9896.040046691895,310000.0
BBWI,25.09000015258789,Stock,consumer_discretionary,-2.7980822100787117,Down,0/3,75.27000045776367,150.54000091552734,225.81000137329102,301.0800018310547,376.35000228881836,451.62000274658203,526.8900032043457,602.1600036621094,677.430004119873,752.7000045776367,827.9700050354004,903.2400054931641,978.5100059509277,1053.7800064086914,1129.050006866455,1204.3200073242188,1279.5900077819824,2559.180015563965,3838.7700233459473,5118.36003112793,6397.950038909912,7677.5400466918945,310000.0
SBAC,199.10000610351562,Stock,real_estate,1.810955514819608,Down,0/3,597.3000183105469,1194.6000366210938,1791.9000549316406,2389.2000732421875,2986.5000915527344,3583.8001098632812,4181.100128173828,4778.400146484375,5375.700164794922,5973.000183105469,6570.300201416016,7167.6002197265625,7764.900238037109,8362.200256347656,8959.500274658203,9556.80029296875,10154.100311279297,20308.200622558594,30462.30093383789,40616.40124511719,50770.501556396484,60924.60186767578,310000.0
YUM,145.66000366210938,Stock,consumer_discretionary,8.923368888731092,Down,1/3,436.9800109863281,873.9600219726562,1310.9400329589844,1747.9200439453125,2184.9000549316406,2621.8800659179688,3058.860076904297,3495.840087890625,3932.820098876953,4369.800109863281,4806.780120849609,5243.7601318359375,5680.740142822266,6117.720153808594,6554.700164794922,6991.68017578125,7428.660186767578,14857.320373535156,22285.980560302734,29714.640747070312,37143.30093383789,44571.96112060547,310000.0
ETSY,64.98999786376953,Stock,consumer_discretionary,6.367499510726866,Down,3/3,194.9699935913086,389.9399871826172,584.9099807739258,779.8799743652344,974.849967956543,1169.8199615478516,1364.7899551391602,1559.7599487304688,1754.7299423217773,1949.699935913086,2144.6699295043945,2339.639923095703,2534.6099166870117,2729.5799102783203,2924.549903869629,3119.5198974609375,3314.489891052246,6628.979782104492,9943.469673156738,13257.959564208984,16572.44945526123,19886.939346313477,310000.0
OTIS,89.16000366210938,Stock,industrials,-1.4110407285926878,Up,1/3,267.4800109863281,534.9600219726562,802.4400329589844,1069.9200439453125,1337.4000549316406,1604.8800659179688,1872.3600769042969,2139.840087890625,2407.320098876953,2674.8001098632812,2942.2801208496094,3209.7601318359375,3477.2401428222656,3744.7201538085938,4012.200164794922,4279.68017578125,4547.160186767578,9094.320373535156,13641.480560302734,18188.640747070312,22735.80093383789,27282.96112060547,310000.0
DBX,30.610000610351562,Stock,technology,12.06456418356496,Up,3/3,91.83000183105469,183.66000366210938,275.49000549316406,367.32000732421875,459.15000915527344,550.9800109863281,642.8100128173828,734.6400146484375,826.4700164794922,918.3000183105469,1010.1300201416016,1101.9600219726562,1193.790023803711,1285.6200256347656,1377.4500274658203,1469.280029296875,1561.1100311279297,3122.2200622558594,4683.330093383789,6244.440124511719,7805.550155639648,9366.660186767578,310000.0
SBUX,84.55999755859375,Stock,consumer_discretionary,-0.7991962801602894,Down,0/3,253.67999267578125,507.3599853515625,761.0399780273438,1014.719970703125,1268.3999633789062,1522.0799560546875,1775.7599487304688,2029.43994140625,2283.1199340820312,2536.7999267578125,2790.4799194335938,3044.159912109375,3297.8399047851562,3551.5198974609375,3805.1998901367188,4058.8798828125,4312.559875488281,8625.119750976562,12937.679626464844,17250.239501953125,21562.799377441406,25875.359252929688,310000.0
WYNN,129.52000427246094,Stock,consumer_discretionary,19.190573246058364,Up,3/3,388.5600128173828,777.1200256347656,1165.6800384521484,1554.2400512695312,1942.800064086914,2331.360076904297,2719.9200897216797,3108.4801025390625,3497.0401153564453,3885.600128173828,4274.160140991211,4662.720153808594,5051.280166625977,5439.840179443359,5828.400192260742,6216.960205078125,6605.520217895508,13211.040435791016,19816.560653686523,26422.08087158203,33027.60108947754,39633.12130737305,310000.0
