ticker,type,sector,ret_12_1_vs_spy,mom_12_1_spdji,mom_12_1_spdji_vs_spy,ulcer_12_1,max_dd_12_1,bull_stack_days_12_1_20_50_100,trend_consistency,trend_bucket,sharpe_12_1,sortino_12_1,rsi14,rsi14_trend_1w,sma20_slope_3d,vol_trend_20d,ulcer_63d,max_dd_63d,beta_252d_vs_spy,ticker_vs_sector_z_12_1,ticker_vs_sector,sector_vs_market_z_12_1,sector_vs_market,sector_dispersion_12_1_pct,sector_corr_21d_z,market_dispersion_12_1_pct,market_corr_21d_z,sector_alignment_score
MCD,Stock,consumer_discretionary,-0.5685621550171829,12.063537271444696,-1.5430961552267863,5.3602916708611605,-11.09971550220008,123,70.48729042401884,Clean,0.5426530926224633,0.7732392480886315,42.210057991038276,Up,Down,Rising,1.730469786134032,-5.0001501858839115,0.2248469149735543,0.10167691702142334,In Line,0.8808999475750116,Sector Outperform,0.35714285714285715,-0.29515429435978985,0.2698412698412698,-0.42459210908030753,0.10167691702142334
NTNX,Stock,technology,-0.6425698771790928,10.445796489363262,-3.16083693730822,9.66525407566595,-24.883785724362905,126,57.8787543291523,Acceptable,0.49199310857818757,0.763386420318394,59.1099117488569,Down,Up,Falling,6.6840716999704854,-14.196649705739627,1.3333832182966148,0.2936464938540484,In Line,-0.19627732469050457,Sector Neutral,0.35714285714285715,-0.9690711199057189,0.2698412698412698,-0.42459210908030753,0.2936464938540484
AAL,Stock,industrials,-0.8138710292837755,9.052623518864168,-4.554009907807314,27.662299458383295,-51.39335600754518,106,56.47942733833021,Acceptable,0.41608067546522115,0.6293888756772379,45.100940191037765,Flat,Down,Falling,6.134966627385155,-14.76043206606914,1.6453611467118012,-0.004923456158065981,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,-0.004923456158065981
AGI,Stock,materials,-0.15294932893467794,14.726821572986792,1.120188146315309,9.87261242792817,-21.49686800765305,146,70.14876954883655,Clean,0.7765651190203956,1.0941507634341765,62.648090178392444,Down,Up,Rising,5.1965149499755885,-12.337662918506332,0.2409567608475717,1.3881063800865447,Best in Breed,-0.461024728612814,Sector Neutral,0.4007936507936508,-0.3047585980636622,0.2698412698412698,-0.42459210908030753,1.3881063800865447
BBWI,Stock,consumer_discretionary,-1.1385314433650184,-2.7980822100787117,-16.404715636750193,20.185688439103007,-38.16685852954531,53,32.9814974777351,Choppy,-0.22607441338059908,-0.33363261115262755,32.0695862069978,Down,Down,Falling,11.51851311655848,-24.927991997424094,1.3986483832950634,-0.91006074007042,In Line,0.8808999475750116,Sector Outperform,0.35714285714285715,-0.29515429435978985,0.2698412698412698,-0.42459210908030753,-0.91006074007042
SBAC,Stock,real_estate,-1.6070451542317685,1.810955514819608,-11.795677911851875,10.650120799200634,-22.334282303665887,129,53.04822633784784,Acceptable,-0.0008544107952002842,-0.0012357050380102244,39.5329633146935,Up,Down,Falling,9.702688780903337,-19.655660728830483,0.06217575805972228,0.12019489879613117,In Line,-0.986078589196826,Sector Underperform,0.5714285714285714,-0.7656575758457284,0.2698412698412698,-0.42459210908030753,0.12019489879613117
YUM,Stock,consumer_discretionary,-0.2313462099630088,8.923368888731092,-4.68326453794039,7.027371506906142,-14.453516833458679,78,55.80175991785025,Acceptable,0.32203291147675484,0.46122719617743346,47.82330966514083,Down,Down,Falling,3.773925167768152,-8.434522496380904,0.42111850020028335,-0.1120969994989369,In Line,0.8808999475750116,Sector Outperform,0.35714285714285715,-0.29515429435978985,0.2698412698412698,-0.42459210908030753,-0.1120969994989369
ETSY,Stock,consumer_discretionary,-0.7219459422676773,6.367499510726866,-7.239133915944617,15.251863174421345,-33.77698615019097,55,76.33380679624113,Clean,0.27704826319905757,0.39437527985573306,63.52756860260052,Up,Down,Rising,11.614653520684532,-26.23768945042667,0.8446287047397146,-0.28609346735021274,In Line,0.8808999475750116,Sector Outperform,0.35714285714285715,-0.29515429435978985,0.2698412698412698,-0.42459210908030753,-0.28609346735021274
OTIS,Stock,industrials,-1.59647714123275,-1.4110407285926878,-15.01767415526417,8.104673358767739,-18.90100735624073,41,58.4252917887041,Acceptable,-0.2942961321946875,-0.34672217102619973,52.82233020472813,Down,Up,Falling,10.691436606811228,-15.969128378517784,0.46441616887206894,-0.9014158085243984,In Line,0.6697841326029136,Sector Outperform,0.373015873015873,0.0484260474781715,0.2698412698412698,-0.42459210908030753,-0.9014158085243984
DBX,Stock,technology,-0.6945764729955081,12.06456418356496,-1.542069243106523,12.366725185265244,-26.2098019258316,132,44.060936434715195,Acceptable,0.5390262106415302,0.6979341633107035,57.36411412295189,Down,Up,Rising,4.329795253214224,-9.396674679206319,0.8676642094805044,0.4059306133454663,In Line,-0.19627732469050457,Sector Neutral,0.35714285714285715,-0.9690711199057189,0.2698412698412698,-0.42459210908030753,0.4059306133454663
SBUX,Stock,consumer_discretionary,-1.4714678639828527,-0.7991962801602894,-14.405829706831772,15.40978262744401,-31.189012276178286,129,24.265547579052978,Choppy,-0.17027451110356942,-0.2355067568023283,44.109360795710906,Up,Down,Falling,7.413955477030455,-14.957307919703922,0.9929330339809216,-0.7739821538810896,In Line,0.8808999475750116,Sector Outperform,0.35714285714285715,-0.29515429435978985,0.2698412698412698,-0.42459210908030753,-0.7739821538810896
