ticker,cik,sector,latest_quarter_end,revenue_concept,net_income_concept,ocf_concept,eps_diluted_concept,eps_source,eps_notes,quarters_available,annuals_available,has_quarterly_revenue,has_quarterly_eps,has_quarterly_net_income,has_quarterly_ocf,rev_yoy,eps_yoy,ocf_yoy,ni_yoy,rev_qoq,eps_qoq,ocf_qoq,ttm_revenue,ttm_net_income,ttm_eps_diluted,ttm_ocf,latest_quarter_all_positive,revenue_qoq_grew_0,revenue_qoq_grew_1,revenue_qoq_grew_2,revenue_qoq_grew_3,eps_diluted_qoq_grew_0,eps_diluted_qoq_grew_1,eps_diluted_qoq_grew_2,eps_diluted_qoq_grew_3,ocf_qoq_grew_0,ocf_qoq_grew_1,ocf_qoq_grew_2,ocf_qoq_grew_3,net_income_qoq_grew_0,net_income_qoq_grew_1,net_income_qoq_grew_2,net_income_qoq_grew_3,reasons,grade_score,grade_letter,grade_provisional,foreign_grade_score,foreign_grade_letter
RYN,0000052827,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.06981382978723394,262.0,-0.1759781467475633,213.7703625853915,0.13628354361630687,-28.901315789473685,0.7584484254515629,482609000.0,435945000.0,2.8099999999999996,397791000.0,True,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,True,,74.99,B,False,,
O,0000726728,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.052958580544300915,-0.2413793103448275,0.050197602629777016,-0.24084104691373254,0.028793351296130754,0.14150759441707716,0.5969493129378776,5461241000.0,975610000.0,1.09,6996859000.0,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,,57.81,C,False,,
REG,0000910606,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,IncomeLossFromContinuingOperationsPerDilutedShare,,,8,2,True,True,True,True,0.06605458362491246,0.03703703703703698,0.0912277015414289,0.032658666770561506,0.01185929133764066,-0.051724137931034364,0.6525916594761596,1479276000.0,419745000.0,,1536137000.0,True,False,True,True,False,False,,,False,True,False,True,True,False,True,False,False,,65.6,C,False,,
RSG,0001060391,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.04619565217391308,0.08024691358024683,0.11669283097854533,0.07500742860717535,0.023753798768788387,0.055370956399437454,0.578726918084789,16368200000.0,2122106000.0,6.75,7984000000.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,64.13,C,False,,
RMD,0000943819,,2025-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.07916255910708614,0.21568627450980382,0.26184991666198476,0.2148110432224486,0.026734940205551005,0.15994181074140196,0.4795673173164971,4995314000.0,1321510000.0,8.969999999999999,3133667000.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,78.7,B,False,,
QSR,0001618756,,2025-06-30,Revenues,ProfitLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.15865384615384626,-0.3522727272727273,0.17634854771784236,-0.3408521303258145,0.09020309786138722,-0.02413300859277348,1.574408333827527,8890000000.0,1240000000.0,2.73,2189000000.0,True,True,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,,57.59,C,False,,
REXR,0001571283,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,-0.15384615384615385,0.29729729729729737,0.1923761463603193,0.4105194238323877,0.0054130142158311245,0.19529529529529527,0.39032276913495845,586000.0,337779000.0,1.4500000000000002,1031339000.0,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,True,,70.53,B,False,,
RH,0001528849,,2025-08-02,RevenueFromContractWithCustomerIncludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.0837649384382666,0.806896551724138,2.332823225269664,0.7859906051395413,0.05676788885901621,-0.8285521395928541,0.6841451261771139,3354490000.0,121867000.0,6.13,414135000.0,True,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,False,,70.79,B,False,,
RIO,0000863064,,,,,,,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
RIOT,0001167419,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,1.1849810048844582,-2.8125,2.520998356000598,-3.598657177704887,0.23633319551646487,-0.4794321895424837,0.7425560903115209,469179000.0,-315724000.0,-1.1800000000000002,-732506000.0,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,,43.44,D,False,,
